name,group,orig_bytes,H1,H2,H3,H_markov1,H_markov2,LZW-12_bytes,LZW-12_CR,LZW-12_bpp,LZW-12_time,LZW-16_bytes,LZW-16_CR,LZW-16_bpp,LZW-16_time,LZ78-12_bytes,LZ78-12_CR,LZ78-12_bpp,LZ78-12_time,LZ78-16_bytes,LZ78-16_CR,LZ78-16_bpp,LZ78-16_time,LZW16+Huff_bytes,LZW16+Huff_CR,LZW16+Huff_bpp,LZW16+Huff_time,GIF_bytes,GIF_CR,GIF_bpp,GIF_time
geometr_05.pgm,rozklady,262159,2.0009950011640467,2.000802347714609,1.999696366040274,2.000605876944005,1.9974805745111575,79947,3.279159943462544,2.4396492205112166,0.08135589999437798,75063,3.492519616855175,2.290609897047212,0.07899570000154199,104955,2.4978228764708685,3.202789147044351,0.0914755999983754,96828,2.7074709794687486,2.954786980420279,0.08566879999852972,75800,3.4585620052770447,2.313100065227591,0.1696343000003253,80399,3.2607246358785558,2.453442376572996,
geometr_09.pgm,rozklady,262159,4.693658431827916,4.686671560368431,4.609817134471995,4.679679441445306,4.456110390345959,198185,1.3227994045967153,6.047780163946308,0.12934849999874132,183169,1.4312410942899727,5.589554430708081,0.11753599999792641,212983,1.230891667410075,6.4993534458096045,0.13474130000395235,200426,1.3080089409557643,6.116166143447297,0.1257761999950162,181078,1.4477683650139719,5.5257458260063546,0.3486027000035392,199308,1.3153460974973408,6.08204944327679,
geometr_099.pgm,rozklady,262159,7.654407130466125,7.559057279175952,5.982719177084687,7.463707921702374,2.8300421918283916,348089,0.7531378469299518,10.622225443337822,0.19518490000336897,332061,0.7894904851819394,10.133117688120569,0.1752113999973517,311685,0.8411023950462807,9.511327095388676,0.17142559999774676,302245,0.8673724958229251,9.223257641355055,0.16190270000515739,307239,0.8532738356784132,9.37565370633852,0.5785477999961586,350098,0.7488160457928923,10.683531749815952,
laplace_10.pgm,rozklady,262159,5.767144375261509,5.744276349166901,5.437127787286431,5.721403946051976,4.822826669583292,251569,1.0420958067170438,7.676837339172029,0.15465530000074068,232449,1.1278129826327496,7.0933746314259665,0.13423709999915445,250623,1.0460292949968677,7.647969362104677,0.14904729999398114,238861,1.097537898610489,7.289042146178464,0.13683700000547105,227516,1.152266214244273,6.942840032194202,0.42153370000596624,253389,1.034610815781269,7.732376153403087,
laplace_20.pgm,rozklady,262159,6.756458638340568,6.693888372941772,5.861979016045487,6.631326992593169,4.1981757706257365,306950,0.8540772112721942,9.36683463089194,0.17465140000422252,279628,0.9375277153933083,8.533081069122174,0.15523559999564895,286369,0.915458726328618,8.738788292601056,0.16194059999543242,270245,0.9700790023867232,8.246751017512272,0.15024370000173803,270307,0.9698564965021254,8.248642999095969,0.495525300000736,308843,0.8488422920383496,9.42460110085864,
laplace_30.pgm,rozklady,262159,7.287118849352337,7.20040848789322,5.952651023790801,7.113694610392152,3.4571429497252772,333049,0.7871484376172876,10.163267330131713,0.18489279999630526,307865,0.8515388238351226,9.394756617167443,0.16622450000431854,303033,0.8651170004586959,9.247304116967184,0.16024599999946076,287530,0.9117622508955587,8.77421717354735,0.15184769999905257,293451,0.893365502247394,8.95490141479026,0.5406526000006124,335161,0.7821882617607657,10.227716767305338,
normal_10.pgm,rozklady,262159,5.368684962919434,5.3613192206666715,5.22454182282668,5.353950740360388,4.950982265730768,229996,1.1398415624619558,7.018519295542019,0.14294870000594528,213241,1.229402413231977,6.507226530464337,0.126351999999315,237407,1.104259773300703,7.2446721264576075,0.14335589999973308,225938,1.1603138914215405,6.894686049305956,0.13996939999924507,209963,1.2485961812319313,6.4071956331844415,0.3971151000005193,231277,1.1335281934649792,7.057610076327725,
normal_30.pgm,rozklady,262159,6.954314060243368,6.903124289671552,5.9325373236533885,6.851932248432616,3.9913690935989217,323308,0.810864562584285,9.866012610667571,0.18168359999981476,285636,0.9178079793863518,8.716420187748657,0.1627961000049254,295596,0.8868827724326446,9.020357874419723,0.16682460000447463,275221,0.9525399587967488,8.398597797519825,0.15991670000221347,277296,0.9454121227857596,8.461918148909632,0.5021351000032155,325766,0.8047463516757427,9.941020525711496,
normal_50.pgm,rozklady,262159,7.649568444679083,7.556477061927952,5.984499780472851,7.463384039992288,2.8405423319774,349351,0.7504172021834774,10.66073642331562,0.19576450000022305,330599,0.7929818299510888,10.088503541743751,0.17963549999694806,311913,0.8404875718549724,9.518284705083556,0.16971570000168867,302032,0.867984187106002,9.216757769140102,0.16375130000233185,310452,0.8444429412598405,9.473701074538734,0.5757445999988704,351192,0.7464834050889542,10.716916070018577,
uniform.pgm,rozklady,262159,7.9993177906678765,7.903342634291688,5.99476180364827,7.807367397826884,2.177603503572661,359052,0.7301421521116719,10.95677050949996,0.19148200000199722,360835,0.7265342885252262,11.0111802379472,0.17967330000101356,316916,0.8272192000403893,9.670955412554976,0.16954559999430785,321544,0.8153129898240987,9.812182683028238,0.1624560999989626,327795,0.799765097088119,10.002937148829528,0.6155461000016658,360998,0.7262062393697472,11.0161543185624,
